,ds,y
607,2021-11-18,0
608,2021-11-19,0
609,2021-11-20,0
610,2021-11-21,0
611,2021-11-22,0
612,2021-11-23,0
613,2021-11-24,0
614,2021-11-25,0
615,2021-11-26,0
616,2021-11-27,0
617,2021-11-28,0
618,2021-11-29,0
619,2021-11-30,0
620,2021-12-01,0
621,2021-12-02,0
622,2021-12-03,0
623,2021-12-04,0
624,2021-12-05,0
625,2021-12-06,0
626,2021-12-07,0
627,2021-12-08,0
628,2021-12-09,0
629,2021-12-10,0
630,2021-12-11,0
631,2021-12-12,0
632,2021-12-13,0
633,2021-12-14,0
634,2021-12-15,0
635,2021-12-16,0
636,2021-12-17,0
